state,date_s,date_e,pop_size,sample_size,pos_count,prev_est,prev_lb,prev_ub,date
SC,2020-10-27,2020-11-11,4955925,1556,130.704,0.084,0.0694,0.0999,2020-11-04
SD,2020-10-27,2020-11-10,864289,152,13.376,0.088,0.0394,0.1536,2020-11-03
TN,2020-10-26,2020-11-10,6651089,1283,137.281,0.107,0.0875,0.1257,2020-11-03
TX,2020-10-29,2020-11-11,27885195,775,123.225,0.159,0.1155,0.2368,2020-11-04
UT,2020-10-25,2020-11-09,3045350,1119,77.211,0.069,0.0422,0.1079,2020-11-02
VA,2020-10-29,2020-11-11,8413774,1227,44.172,0.036,0.0207,0.056,2020-11-04
VT,2020-11-02,2020-11-13,624977,605,2.42,0.004,4e-04,0.0098,2020-11-08
WA,2020-11-01,2020-11-13,7294336,2169,73.746,0.034,0.0245,0.0444,2020-11-07
WI,2020-10-26,2020-11-10,5778394,1096,167.688,0.153,0.1224,0.189,2020-11-03
WV,2020-10-29,2020-11-15,1829054,1095,60.225,0.055,0.0303,0.0935,2020-11-06
WY,2020-10-26,2020-11-10,581836,402,19.296,0.048,0.0236,0.0762,2020-11-03
AK,2020-11-14,2020-11-28,738516,621,40.365,0.065,0.0428,0.0914,2020-11-21
AL,2020-11-14,2020-11-24,4864680,1320,118.8,0.09,0.0715,0.1098,2020-11-19
AR,2020-11-09,2020-11-25,2990671,2115,158.625,0.075,0.0625,0.0889,2020-11-17
AZ,2020-11-09,2020-11-25,6946685,2301,262.314,0.114,0.0947,0.1363,2020-11-17
CA,2020-11-09,2020-11-20,39148760,1285,101.515,0.079,0.0609,0.0963,2020-11-15
